행정구역코드	1단계	2단계	3단계	격자 X	격자 Y	경도(시)	경도(분)	경도(초)	위도(시)	위도(분)	위도(초)	경도(초/100)	위도(초/100)
4128553000	경기도	고양시일산동구	정발산동	56	129	126	46	55.03	37	40	10.79	126.78195277777778	37.669663888888884
4128554000	경기도	고양시일산동구	풍산동	57	129	126	48	7.2	37	39	40.58	126.80199999999999	37.66127222222222
4128555100	경기도	고양시일산동구	백석1동	57	128	126	47	40.47	37	38	48.75	126.794575	37.646875
4128555200	경기도	고양시일산동구	백석2동	57	128	126	47	19.88	37	38	24.51	126.78885555555556	37.640141666666665
4128556000	경기도	고양시일산동구	마두1동	57	129	126	47	30.71	37	39	10.92	126.79186388888888	37.65303333333333
4128557000	경기도	고양시일산동구	마두2동	56	128	126	47	11.64	37	39	2.89	126.78656666666666	37.65080277777778
4128558000	경기도	고양시일산동구	장항1동	56	128	126	46	21.23	37	38	19.76	126.77256388888888	37.638822222222224
4128559000	경기도	고양시일산동구	장항2동	56	128	126	46	49.44	37	38	49.54	126.7804	37.64709444444444
4128560000	경기도	고양시일산동구	고봉동	57	130	126	49	45.52	37	41	56.79	126.82931111111111	37.69910833333333
4128700000	경기도	고양시일산서구	nil	56	129	126	45	10.0	37	40	20.95	126.75277777777778	37.672486111111105
4128751000	경기도	고양시일산서구	일산1동	56	129	126	46	14.4	37	41	3.66	126.77066666666667	37.684349999999995
4128752000	경기도	고양시일산서구	일산2동	56	129	126	46	45.67	37	40	54.47	126.77935277777777	37.68179722222222
4128753000	경기도	고양시일산서구	일산3동	56	129	126	46	20.44	37	40	27.07	126.77234444444444	37.67418611111111
4128754000	경기도	고양시일산서구	탄현동	56	129	126	46	14.15	37	41	29.47	126.77059722222222	37.69151944444444
4128755000	경기도	고양시일산서구	주엽1동	56	129	126	45	55.59	37	40	2.39	126.76544166666666	37.66733055555555
4128756000	경기도	고양시일산서구	주엽2동	56	129	126	45	44.88	37	40	16.6	126.76246666666667	37.671277777777775
4128757000	경기도	고양시일산서구	대화동	56	129	126	45	26.0	37	40	48.55	126.75722222222223	37.68015277777778
4128758000	경기도	고양시일산서구	송포동	56	129	126	44	15.4	37	40	7.32	126.73761111111111	37.6687
4128759000	경기도	고양시일산서구	송산동	56	129	126	45	23.15	37	41	17.27	126.75643055555555	37.68813055555555
4129000000	경기도	과천시	nil	60	124	126	59	23.28	37	25	34.94	126.9898	37.42637222222222
4129051000	경기도	과천시	중앙동	60	124	126	59	41.28	37	25	59.83	126.9948	37.43328611111111
4129052000	경기도	과천시	갈현동	60	123	126	59	28.32	37	24	59.45	126.9912	37.416513888888886
